PolicyNumber,CustomerID,Name,City,Gender,Age,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,CoverageAmount,ClaimNumber,ClaimDate,ClaimAmount,ClaimStatus
P18,C18,Rohan Desai,Indore,Male,34,Health,02-11-2023,01-11-2024,341.44,76134.32,CL18,06-01-2024,1582.19,Settled
P19,C19,Priya Nair,Kolkata,Female,34,Health,09-07-2025,09-07-2026,717.52,69487.62,CL19,10-06-2026,5112.44,Rejected
P20,C20,Priya Nair,Lucknow,Female,56,Health,31-03-2023,30-03-2024,1386.1,55453.08,CL20,,0,Rejected
P21,C21,Arjun Nair,Chandigarh,Male,48,Travel,02-06-2025,02-06-2026,1335.06,84059.79,CL21,,0,Rejected
P22,C22,Sai Kumar,Hyderabad,Male,33,Auto,08-02-2025,08-02-2026,1285.32,69528.58,CL22,11-11-2025,7711.51,Pending
P23,C23,Rohan Desai,Bengaluru,Male,34,Travel,15-04-2024,15-04-2025,747.95,37814.43,CL23,23-12-2024,5316.34,Rejected
P24,C24,Rohan Desai,Chandigarh,Female,63,Travel,29-07-2024,29-07-2025,1155.48,69492.77,CL24,03-09-2024,7965.43,Rejected
P25,C25,Vihaan Reddy,Ahmedabad,Female,61,Auto,27-02-2024,26-02-2025,859.43,87458.18,CL25,25-06-2024,1625.67,Rejected
P26,C26,Neha Joshi,Kolkata,Male,75,Travel,25-05-2024,25-05-2025,1473.92,36281.94,CL26,,0,Rejected
P27,C27,Meera Kulkarni,Bengaluru,Female,26,Auto,04-09-2024,04-09-2025,829.14,85060.83,CL27,18-06-2025,4691.62,Rejected
P28,C28,Kunal Mehta,Pune,Female,57,Health,24-09-2023,23-09-2024,1111.22,54341.77,CL28,28-01-2024,2222.74,Rejected
P29,C29,Vihaan Reddy,Kolkata,Male,73,Health,28-12-2024,28-12-2025,1477.03,81103.01,CL29,,0,Rejected
P30,C30,Aarav Sharma,Mumbai,Male,51,Health,20-09-2023,19-09-2024,1310.21,40388.31,CL30,,0,Rejected
P31,C31,Meera Kulkarni,Pune,Female,69,Auto,12-09-2025,12-09-2026,398.94,63871.98,CL31,20-10-2025,2350.28,Settled
P32,C32,Aditya Verma,Lucknow,Female,38,Health,24-08-2025,24-08-2026,852.59,44946.35,CL32,,0,Rejected
P33,C33,Ananya Gupta,Kolkata,Female,50,Travel,04-11-2023,03-11-2024,718.88,95535.93,CL33,22-02-2024,8169.58,Settled
P34,C34,Aarav Sharma,Ahmedabad,Male,33,Travel,21-04-2025,21-04-2026,684.59,51577.87,CL34,28-12-2025,5563.18,Settled
P35,C35,Aditya Verma,Ahmedabad,Male,65,Auto,25-08-2025,25-08-2026,754.02,47861.3,CL35,,0,Rejected
P36,C36,Rohan Desai,Lucknow,Female,26,Health,28-12-2023,27-12-2024,457.44,37050.44,CL36,,0,Rejected
P37,C37,Sai Kumar,Mumbai,Female,44,Health,16-01-2024,15-01-2025,842.05,23971.57,CL37,26-12-2024,1282.94,Pending
P38,C38,Priya Nair,Lucknow,Female,49,Health,03-10-2023,02-10-2024,1412.19,69840.87,CL38,07-06-2024,6491.64,Settled
P39,C39,Sneha Iyer,Lucknow,Male,29,Health,14-07-2023,13-07-2024,1440.55,24050.14,CL39,,0,Rejected
P40,C40,Ananya Gupta,Delhi,Male,67,Health,21-05-2024,21-05-2025,496.6,91614.48,CL40,12-03-2025,2571.48,Settled
P41,C41,Vihaan Reddy,Chennai,Female,68,Health,29-09-2025,29-09-2026,583.97,37952.71,CL41,06-12-2025,4549.41,Rejected
P42,C42,Sai Kumar,Kolkata,Male,35,Health,28-08-2024,28-08-2025,330.8,28559.27,CL42,04-05-2025,1781.86,Settled
P43,C43,Aarav Sharma,Delhi,Male,71,Auto,13-06-2023,12-06-2024,459.06,57384.74,CL43,18-11-2023,5977.96,Rejected
P44,C44,Vivaan Patel,Bengaluru,Female,27,Auto,20-06-2024,20-06-2025,366.5,21627.61,CL44,15-08-2024,2999.15,Rejected
P45,C45,Neha Joshi,Mumbai,Male,50,Auto,20-10-2023,19-10-2024,709.93,32015.01,CL45,08-11-2023,7497.41,Settled
P46,C46,Kunal Mehta,Indore,Female,45,Auto,10-04-2024,10-04-2025,1000.46,42739.99,CL46,05-12-2024,4502.98,Pending
P47,C47,Sai Kumar,Delhi,Male,49,Auto,24-12-2023,23-12-2024,1033.22,33859.48,CL47,09-02-2024,8746.31,Settled
P48,C48,Ishita Singh,Hyderabad,Male,48,Auto,26-04-2025,26-04-2026,301.18,20673.38,CL48,,0,Rejected
P49,C49,Rohan Desai,Chennai,Male,28,Auto,06-02-2023,06-02-2024,470.49,46726.42,CL49,30-12-2023,4066.2,Rejected
P50,C50,Priya Nair,Kolkata,Female,59,Travel,01-11-2023,31-10-2024,342.48,69378.02,CL50,,0,Rejected
P51,C51,Sneha Iyer,Bengaluru,Female,27,Auto,09-01-2024,08-01-2025,857.51,50976.74,CL51,06-08-2024,8273.5,Rejected
P52,C52,Vivaan Patel,Mumbai,Male,47,Health,23-04-2023,22-04-2024,1122.28,34035.74,CL52,12-03-2024,6513.52,Pending
P53,C53,Pooja Sharma,Jaipur,Female,31,Travel,18-09-2025,18-09-2026,561.4,31696.16,CL53,09-03-2026,7273.24,Settled
P54,C54,Aarav Sharma,Chandigarh,Female,73,Health,18-07-2023,17-07-2024,1181.41,24700.58,CL54,,0,Rejected
P55,C55,Neha Joshi,Kolkata,Female,70,Auto,10-11-2025,10-11-2026,291.17,27440.9,CL55,,0,Rejected
P56,C56,Aditya Verma,Chennai,Male,56,Health,07-06-2024,07-06-2025,1279.76,71512.98,CL56,29-11-2024,9983.57,Rejected
P57,C57,Ananya Gupta,Indore,Female,71,Travel,14-05-2024,14-05-2025,338.51,68814.99,CL57,27-08-2024,3248.36,Settled
P58,C58,Priya Nair,Delhi,Male,29,Auto,08-07-2023,07-07-2024,532.22,64435.17,CL58,18-01-2024,2122.37,Pending
P59,C59,Vivaan Patel,Bengaluru,Female,47,Auto,21-09-2024,21-09-2025,337.68,99626.38,CL59,,0,Rejected
P60,C60,Aditya Verma,Jaipur,Male,56,Travel,04-12-2023,03-12-2024,907.5,81363.04,CL60,24-07-2024,6952.12,Rejected
P61,C61,Arjun Nair,Hyderabad,Male,58,Health,15-09-2023,14-09-2024,1487.99,85103.4,CL61,11-04-2024,7802.64,Rejected
P62,C62,Kunal Mehta,Ahmedabad,Female,73,Auto,06-05-2023,05-05-2024,483.07,26132.07,CL62,21-10-2023,1037.1,Rejected
P63,C63,Neha Joshi,Pune,Male,22,Travel,08-06-2024,08-06-2025,761.75,91639.6,CL63,05-03-2025,3473.86,Settled
P64,C64,Aarav Sharma,Bengaluru,Female,66,Health,16-11-2023,15-11-2024,362.4,79069.18,CL64,03-04-2024,4129.6,Settled
P65,C65,Meera Kulkarni,Delhi,Male,52,Health,16-04-2025,16-04-2026,1278.68,36945.33,CL65,21-01-2026,4629.82,Pending
P66,C66,Kunal Mehta,Pune,Female,53,Travel,17-11-2025,17-11-2026,527.65,77697.56,CL66,13-01-2026,6202.71,Pending
P67,C67,Kunal Mehta,Jaipur,Male,42,Auto,07-07-2024,07-07-2025,1194.18,46351,CL67,24-08-2024,8098.9,Settled
P68,C68,Kunal Mehta,Kolkata,Male,45,Travel,16-12-2025,16-12-2026,977.9,49955.21,CL68,,0,Rejected
P69,C69,Aditya Verma,Bengaluru,Female,47,Health,22-08-2025,22-08-2026,1050.43,61650.15,CL69,13-06-2026,7211.17,Settled
P70,C70,Arjun Nair,Hyderabad,Male,47,Health,11-11-2025,11-11-2026,1408.77,65561.69,CL70,17-08-2026,9482.03,Pending
P71,C71,Rohan Desai,Kolkata,Female,69,Auto,24-07-2024,24-07-2025,716.26,64696.31,CL71,21-10-2024,9358.43,Settled
P72,C72,Ananya Gupta,Mumbai,Female,69,Auto,13-03-2024,13-03-2025,710.84,52243,CL72,18-03-2024,9209.65,Settled
P73,C73,Ishita Singh,Ahmedabad,Male,64,Travel,04-01-2024,03-01-2025,884.91,33080.69,CL73,23-09-2024,6702.46,Rejected
P74,C74,Priya Nair,Ahmedabad,Female,58,Auto,15-10-2023,14-10-2024,1435.69,73945.77,CL74,25-08-2024,1316.21,Pending
P75,C75,Sneha Iyer,Jaipur,Male,42,Travel,05-08-2025,05-08-2026,1393.33,57098.99,CL75,20-03-2026,1139.14,Pending
P76,C76,Vihaan Reddy,Delhi,Male,46,Health,22-01-2025,22-01-2026,757.5,50155.14,CL76,03-01-2026,1367.14,Settled
P77,C77,Sai Kumar,Mumbai,Female,25,Health,16-09-2024,16-09-2025,742.84,78870.13,CL77,,0,Rejected
P78,C78,Rohan Desai,Lucknow,Female,50,Travel,18-04-2023,17-04-2024,1100.18,54993.17,CL78,26-08-2023,9356.65,Settled
P79,C79,Priya Nair,Bengaluru,Male,38,Health,24-12-2025,24-12-2026,933.42,44068.88,CL79,28-08-2026,8991.82,Rejected
P80,C80,Kavya Reddy,Jaipur,Female,48,Travel,26-08-2023,25-08-2024,654.98,86545.18,CL80,02-09-2023,4025.59,Pending
P81,C81,Arjun Nair,Chandigarh,Male,33,Health,20-04-2024,20-04-2025,1412.68,29906.88,CL81,07-04-2025,2952.88,Rejected
P82,C82,Arjun Nair,Lucknow,Male,51,Health,30-08-2023,29-08-2024,434.97,28848.58,CL82,25-05-2024,4068.09,Rejected
P83,C83,Sneha Iyer,Delhi,Male,52,Travel,07-02-2023,07-02-2024,1409.47,36206.61,CL83,25-04-2023,2855.78,Settled
P84,C84,Ishita Singh,Indore,Female,28,Health,15-04-2024,15-04-2025,1082.34,25007.93,CL84,05-11-2024,9159.85,Pending
P85,C85,Rohan Desai,Chennai,Female,34,Auto,11-08-2024,11-08-2025,503.29,36654.93,CL85,06-07-2025,2188.95,Settled
P86,C86,Aditya Verma,Pune,Male,46,Travel,21-06-2025,21-06-2026,377.47,28540.41,CL86,,0,Rejected
P87,C87,Priya Nair,Bengaluru,Male,33,Auto,15-12-2023,14-12-2024,467.09,32942.13,CL87,26-10-2024,4413.62,Pending
P88,C88,Sneha Iyer,Pune,Female,23,Travel,12-11-2024,12-11-2025,605.97,80553.38,CL88,19-01-2025,3898.54,Rejected
P89,C89,Rohan Desai,Jaipur,Male,41,Auto,20-06-2025,20-06-2026,910.12,36745.27,CL89,,0,Rejected
P90,C90,Kunal Mehta,Pune,Female,25,Health,10-02-2025,10-02-2026,471.66,67924.89,CL90,,0,Rejected
P91,C91,Neha Joshi,Kolkata,Male,24,Auto,10-03-2024,10-03-2025,1493.15,92245.51,CL91,18-11-2024,2448.56,Rejected
P92,C92,Vihaan Reddy,Ahmedabad,Female,58,Travel,18-10-2025,18-10-2026,1025.15,85857.01,CL92,21-11-2025,3776.61,Pending
P93,C93,Vihaan Reddy,Mumbai,Female,43,Health,23-04-2023,22-04-2024,311.76,37832.95,CL93,23-05-2023,7864.58,Rejected
P94,C94,Meera Kulkarni,Kolkata,Female,72,Auto,19-08-2025,19-08-2026,920.64,67617.92,CL94,21-10-2025,3501.41,Pending
P95,C95,Aditya Verma,Lucknow,Female,24,Health,23-08-2025,23-08-2026,383.28,70853.27,CL95,12-09-2025,1470.08,Rejected
P96,C96,Meera Kulkarni,Hyderabad,Male,73,Travel,08-02-2024,07-02-2025,921.74,48706.01,CL96,,0,Rejected
P97,C97,Aditya Verma,Jaipur,Female,35,Auto,02-07-2023,01-07-2024,780.99,43128.49,CL97,09-01-2024,1401.61,Settled
P98,C98,Rohan Desai,Kolkata,Female,31,Travel,21-08-2025,21-08-2026,834.12,88499.46,CL98,,0,Rejected
P99,C99,Pooja Sharma,Hyderabad,Female,23,Travel,21-02-2024,20-02-2025,1021.39,57622.36,CL99,16-06-2024,8462.99,Rejected
P100,C100,Ishita Singh,Delhi,Male,45,Travel,07-07-2024,07-07-2025,1157.49,63472.58,CL100,21-03-2025,1766.61,Settled
P101,C101,Aarav Sharma,Hyderabad,Female,29,Auto,21-01-2024,20-01-2025,1305.43,85075.08,CL101,,0,Rejected
P102,C102,Ananya Gupta,Lucknow,Female,54,Health,06-05-2024,06-05-2025,1392.52,42435.17,CL102,26-02-2025,8901.53,Pending
P103,C103,Neha Joshi,Bengaluru,Male,46,Health,07-07-2023,06-07-2024,282.89,24276.08,CL103,01-10-2023,4324.1,Pending
P104,C104,Aarav Sharma,Chennai,Male,58,Auto,23-08-2023,22-08-2024,1266.81,39986.55,CL104,30-09-2023,5477.03,Settled
P105,C105,Ananya Gupta,Hyderabad,Male,45,Travel,29-05-2025,29-05-2026,1413.85,45919.8,CL105,11-12-2025,1509.38,Settled
P106,C106,Kavya Reddy,Bengaluru,Female,71,Auto,25-02-2025,25-02-2026,274.05,93486.27,CL106,27-05-2025,5929.04,Pending
P107,C107,Aditya Verma,Indore,Female,54,Health,09-05-2025,09-05-2026,1157.11,64991.09,CL107,12-04-2026,8351.74,Pending
P108,C108,Sai Kumar,Chandigarh,Male,23,Health,29-11-2025,29-11-2026,1488.88,37103.92,CL108,26-09-2026,4280.81,Pending
P109,C109,Rohan Desai,Lucknow,Female,35,Travel,28-02-2024,27-02-2025,1312.1,62321.75,CL109,,0,Rejected
P110,C110,Arjun Nair,Kolkata,Female,65,Travel,24-07-2024,24-07-2025,395.24,74147.21,CL110,30-01-2025,6360.77,Settled
P111,C111,Vihaan Reddy,Mumbai,Male,23,Auto,18-04-2025,18-04-2026,392.54,27144.25,CL111,09-07-2025,7596.9,Rejected
P112,C112,Vihaan Reddy,Kolkata,Male,35,Auto,16-12-2024,16-12-2025,1237.42,95361.89,CL112,,0,Rejected
P113,C113,Aarav Sharma,Kolkata,Male,72,Health,06-03-2025,06-03-2026,1466.71,64572.54,CL113,06-03-2025,6037.44,Rejected
P114,C114,Sai Kumar,Indore,Female,65,Auto,04-08-2024,04-08-2025,1391.69,69855.2,CL114,19-10-2024,6714.91,Rejected
P115,C115,Meera Kulkarni,Hyderabad,Female,32,Health,12-05-2025,12-05-2026,904.67,41646.25,CL115,,0,Rejected
P116,C116,Kavya Reddy,Indore,Male,73,Travel,24-09-2024,24-09-2025,537.27,82176.19,CL116,24-08-2025,2693.78,Pending
P117,C117,Aarav Sharma,Pune,Male,21,Auto,21-11-2025,21-11-2026,443.55,64224.88,CL117,21-01-2026,4773.37,Rejected
P118,C118,Pooja Sharma,Ahmedabad,Male,67,Health,07-07-2024,07-07-2025,1269.09,89501.33,CL118,23-07-2024,5395.25,Rejected
P119,C119,Aditya Verma,Chennai,Female,21,Travel,19-10-2025,19-10-2026,521.57,32905.34,CL119,,0,Rejected
P120,C120,Sneha Iyer,Lucknow,Male,24,Health,05-05-2025,05-05-2026,775.55,81324.02,CL120,26-09-2025,9895.95,Settled
P121,C121,Pooja Sharma,Delhi,Male,52,Auto,04-09-2023,03-09-2024,1328.36,85633.3,CL121,,0,Rejected
P122,C122,Aditya Verma,Jaipur,Male,63,Travel,16-02-2025,16-02-2026,274.69,42938.39,CL122,,0,Rejected
P123,C123,Pooja Sharma,Mumbai,Male,29,Auto,13-06-2025,13-06-2026,613.12,96149.78,CL123,30-09-2025,2224.43,Settled
P124,C124,Kavya Reddy,Hyderabad,Female,51,Auto,09-09-2023,08-09-2024,1111.49,58566.38,CL124,19-08-2024,4508.99,Pending
P125,C125,Kunal Mehta,Indore,Male,37,Auto,30-04-2023,29-04-2024,551.04,52929.26,CL125,,0,Rejected
P126,C126,Neha Joshi,Lucknow,Female,56,Travel,02-08-2023,01-08-2024,403.53,63125.55,CL126,,0,Rejected
P127,C127,Kavya Reddy,Pune,Female,47,Travel,20-01-2024,19-01-2025,480.13,50986.58,CL127,,0,Rejected
P128,C128,Rohan Desai,Hyderabad,Female,46,Auto,10-07-2023,09-07-2024,1035.69,67341.39,CL128,24-04-2024,5689.86,Rejected
P129,C129,Arjun Nair,Chennai,Female,37,Health,07-07-2023,06-07-2024,748.95,86425.93,CL129,18-11-2023,3612.06,Settled
P130,C130,Sai Kumar,Lucknow,Male,42,Health,26-07-2023,25-07-2024,1162.07,56666.11,CL130,23-10-2023,8976.11,Settled
P131,C131,Neha Joshi,Lucknow,Female,54,Health,08-01-2024,07-01-2025,429.94,34889.24,CL131,,0,Rejected
P132,C132,Kavya Reddy,Lucknow,Female,58,Auto,24-05-2025,24-05-2026,366.99,44435.75,CL132,14-12-2025,2465.3,Settled
P133,C133,Vivaan Patel,Jaipur,Female,66,Travel,04-10-2024,04-10-2025,1118.73,85570.43,CL133,30-09-2025,1150.5,Rejected
P134,C134,Kunal Mehta,Bengaluru,Female,33,Health,20-07-2024,20-07-2025,285.49,29195.25,CL134,26-04-2025,7172.12,Rejected
P135,C135,Sneha Iyer,Bengaluru,Male,63,Health,11-12-2024,11-12-2025,682.19,57683.78,CL135,21-05-2025,1310.67,Settled
P136,C136,Vivaan Patel,Bengaluru,Female,70,Travel,10-03-2025,10-03-2026,804.86,46052.27,CL136,27-03-2025,2149.57,Pending
P137,C137,Kunal Mehta,Delhi,Female,30,Travel,15-07-2024,15-07-2025,297.16,29508.53,CL137,12-02-2025,5222.35,Rejected
P138,C138,Sai Kumar,Chandigarh,Female,32,Auto,02-06-2023,01-06-2024,1358.58,23582.8,CL138,28-01-2024,2671.46,Rejected
P139,C139,Ananya Gupta,Bengaluru,Female,27,Travel,26-06-2025,26-06-2026,332.38,92025.16,CL139,30-11-2025,8435.71,Rejected
P140,C140,Sneha Iyer,Chandigarh,Female,49,Travel,26-12-2024,26-12-2025,645.64,80318.07,CL140,,0,Rejected
P141,C141,Aditya Verma,Ahmedabad,Male,31,Auto,13-04-2023,12-04-2024,511.31,36349.23,CL141,14-05-2023,2639.31,Settled
P142,C142,Rohan Desai,Hyderabad,Male,37,Auto,21-11-2025,21-11-2026,1492.99,53734.78,CL142,10-05-2026,5567.63,Rejected
P143,C143,Priya Nair,Delhi,Female,60,Travel,23-09-2024,23-09-2025,1206.52,87861.82,CL143,,0,Rejected
P144,C144,Meera Kulkarni,Chennai,Female,68,Auto,27-10-2025,27-10-2026,820.01,52280.3,CL144,20-05-2026,6738.32,Rejected
P145,C145,Kunal Mehta,Jaipur,Female,54,Travel,03-09-2024,03-09-2025,904.51,78906,CL145,21-09-2024,4205.74,Rejected
P146,C146,Sneha Iyer,Jaipur,Female,27,Health,09-09-2024,09-09-2025,1277.15,97689.94,CL146,07-08-2025,1484.43,Pending
P147,C147,Vihaan Reddy,Ahmedabad,Female,44,Travel,04-12-2025,04-12-2026,881.05,64784.28,CL147,08-08-2026,4422.52,Pending
P148,C148,Vihaan Reddy,Kolkata,Male,72,Travel,04-02-2023,04-02-2024,715,72240.95,CL148,12-08-2023,4132.86,Settled
P149,C149,Meera Kulkarni,Bengaluru,Female,68,Auto,18-07-2024,18-07-2025,1381.27,91165,CL149,07-02-2025,8043.62,Pending
P150,C150,Rohan Desai,Pune,Male,62,Travel,06-12-2023,05-12-2024,275.88,27699.24,CL150,03-03-2024,7966.72,Rejected
P151,C151,Rohan Desai,Delhi,Male,71,Health,22-05-2024,22-05-2025,1407.44,67675.89,CL151,,0,Rejected
P152,C152,Aarav Sharma,Lucknow,Female,70,Auto,01-11-2023,31-10-2024,273.59,38175.85,CL152,16-03-2024,5745.01,Settled
P153,C153,Kavya Reddy,Mumbai,Male,69,Auto,03-08-2025,03-08-2026,997.75,42627.58,CL153,15-09-2025,5361.35,Settled
P154,C154,Vihaan Reddy,Chandigarh,Male,23,Auto,16-09-2025,16-09-2026,1115.25,57242.71,CL154,16-07-2026,1930.47,Rejected
P155,C155,Vivaan Patel,Chennai,Male,52,Health,16-08-2023,15-08-2024,1216.02,90271.78,CL155,27-05-2024,4200.7,Pending
P156,C156,Arjun Nair,Pune,Male,62,Auto,23-02-2025,23-02-2026,831.62,97192.26,CL156,,0,Rejected
P157,C157,Neha Joshi,Pune,Male,75,Health,24-11-2023,23-11-2024,1461.81,75395.62,CL157,,0,Rejected
P158,C158,Vihaan Reddy,Pune,Male,34,Travel,17-05-2024,17-05-2025,877.92,24418.13,CL158,,0,Rejected
P159,C159,Vihaan Reddy,Lucknow,Male,72,Travel,23-06-2025,23-06-2026,884.06,94708.62,CL159,16-11-2025,7842.38,Pending
P160,C160,Pooja Sharma,Bengaluru,Male,75,Health,15-12-2023,14-12-2024,706.17,52607.73,CL160,05-02-2024,7685.78,Settled
P161,C161,Kavya Reddy,Hyderabad,Female,57,Travel,19-12-2024,19-12-2025,1044.95,60252.68,CL161,10-05-2025,3729.98,Settled
P162,C162,Aarav Sharma,Chennai,Female,38,Travel,04-07-2025,04-07-2026,855.3,96026.69,CL162,16-07-2025,6271.45,Settled
P163,C163,Aarav Sharma,Jaipur,Male,29,Travel,07-08-2025,07-08-2026,1001.03,65653.35,CL163,04-10-2025,7146.71,Settled
P164,C164,Kavya Reddy,Lucknow,Female,42,Health,16-09-2024,16-09-2025,1026.86,38116.53,CL164,,0,Rejected
P165,C165,Priya Nair,Jaipur,Male,50,Travel,08-05-2024,08-05-2025,302.04,86608.21,CL165,,0,Rejected
P166,C166,Pooja Sharma,Jaipur,Male,51,Health,05-09-2024,05-09-2025,995.32,93709.16,CL166,21-09-2024,6196.44,Pending
P167,C167,Sneha Iyer,Chandigarh,Female,39,Travel,04-05-2025,04-05-2026,518.61,34076.14,CL167,01-08-2025,4922.43,Rejected
P168,C168,Neha Joshi,Chandigarh,Male,64,Auto,10-06-2025,10-06-2026,876.75,52062.84,CL168,,0,Rejected
P169,C169,Arjun Nair,Pune,Female,22,Travel,12-12-2024,12-12-2025,558.24,23467.28,CL169,27-10-2025,6902.03,Settled
P170,C170,Meera Kulkarni,Delhi,Female,67,Auto,18-03-2025,18-03-2026,765.96,90344.44,CL170,,0,Rejected
P171,C171,Kunal Mehta,Ahmedabad,Female,50,Travel,11-12-2023,10-12-2024,437.71,81205.87,CL171,13-09-2024,6941.92,Settled
P172,C172,Priya Nair,Chandigarh,Male,64,Travel,14-10-2025,14-10-2026,1172.55,76299.18,CL172,25-04-2026,7049.16,Settled
P173,C173,Vihaan Reddy,Chennai,Female,66,Auto,04-04-2025,04-04-2026,395.82,28334.81,CL173,24-02-2026,8084.21,Rejected
P174,C174,Ishita Singh,Ahmedabad,Male,34,Health,03-06-2023,02-06-2024,328.9,90458.87,CL174,22-09-2023,2972.67,Rejected
P175,C175,Meera Kulkarni,Indore,Male,53,Travel,28-04-2023,27-04-2024,538.34,21888.5,CL175,,0,Rejected
P176,C176,Arjun Nair,Kolkata,Female,47,Travel,21-05-2024,21-05-2025,837.27,26128.42,CL176,,0,Rejected
P177,C177,Pooja Sharma,Kolkata,Male,40,Auto,17-02-2023,17-02-2024,1186.68,24551.06,CL177,11-02-2024,4818.87,Settled
P178,C178,Sai Kumar,Pune,Female,22,Travel,24-12-2024,24-12-2025,1074.66,99535.39,CL178,10-12-2025,5325.79,Rejected
P179,C179,Ishita Singh,Chennai,Female,59,Travel,25-07-2024,25-07-2025,937.58,49384.54,CL179,,0,Rejected
P180,C180,Arjun Nair,Chennai,Male,50,Auto,31-05-2023,30-05-2024,1168.55,80691.24,CL180,07-02-2024,7399.09,Settled
P181,C181,Ananya Gupta,Lucknow,Male,66,Auto,21-11-2024,21-11-2025,1410.73,92966.15,CL181,05-03-2025,1316.61,Settled
P182,C182,Sai Kumar,Hyderabad,Male,67,Health,11-05-2024,11-05-2025,671.99,35204.61,CL182,29-08-2024,6070.99,Rejected
P183,C183,Pooja Sharma,Chennai,Female,30,Health,13-04-2023,12-04-2024,1205.28,94535.64,CL183,16-06-2023,4682.24,Settled
P184,C184,Meera Kulkarni,Mumbai,Male,43,Auto,30-01-2023,30-01-2024,946.77,44217.79,CL184,17-09-2023,2151.26,Pending
P185,C185,Meera Kulkarni,Chandigarh,Female,73,Health,10-08-2024,10-08-2025,545.94,51836.71,CL185,22-08-2024,4024.92,Pending
P186,C186,Kunal Mehta,Hyderabad,Male,22,Travel,08-11-2025,08-11-2026,1170.15,27837.75,CL186,,0,Rejected
P187,C187,Arjun Nair,Pune,Male,75,Auto,21-10-2025,21-10-2026,816.53,31117.16,CL187,28-07-2026,9985.48,Rejected
P188,C188,Kunal Mehta,Chennai,Female,33,Auto,09-08-2024,09-08-2025,1364.68,98007.22,CL188,21-12-2024,3000.34,Settled
P189,C189,Priya Nair,Ahmedabad,Female,67,Travel,22-10-2023,21-10-2024,755.37,79137.14,CL189,12-12-2023,7397.94,Settled
P190,C190,Kavya Reddy,Jaipur,Female,34,Travel,19-10-2024,19-10-2025,1327.55,83081.04,CL190,08-03-2025,3312.08,Rejected
P191,C191,Meera Kulkarni,Hyderabad,Male,66,Travel,11-01-2025,11-01-2026,1028.93,56316.97,CL191,20-04-2025,2834.84,Rejected
P192,C192,Aarav Sharma,Mumbai,Male,70,Travel,03-02-2025,03-02-2026,785.45,31046.06,CL192,22-11-2025,4031.81,Settled
P193,C193,Ananya Gupta,Lucknow,Female,66,Travel,28-01-2023,28-01-2024,705.26,78709.59,CL193,04-11-2023,4866.98,Pending
P194,C194,Pooja Sharma,Kolkata,Female,44,Travel,21-09-2023,20-09-2024,1447.6,34039.04,CL194,,0,Rejected
