Order_ID,Order_Number,Order_Date,Customer_ID,Customer_Name,Gender,City,State,Brand,Product_Name,Size,Color,Quantity,MRP,Discount_Percent,Selling_Price,Shipping_Amount,GST_Amount,Total_Amount,Product_Cost,Profit,Payment_Method,Order_Status,Delivery_Date,Sales_Channel
MYN100010,ORD20250010,2026-01-21 00:00:00,CUST95616,Shreya Nair,Men,Mumbai,Maharashtra,DressBerry,T-Shirts,XS,Black,4,2152,50,1076,0,774.72,5078.72,2654.09,1649.91,Credit Card,Delivered,2026-01-25 00:00:00,Website
MYN100011,ORD20250011,2026-02-20 00:00:00,CUST22688,Rahul Gupta,Women,Mumbai,Maharashtra,Allen Solly,Handbags,XL,Red,1,3773,25,2829.75,0,509.35,3339.1,1930.32,899.43,Credit Card,Delivered,2026-02-25 00:00:00,Website
MYN100012,ORD20250012,2026-02-07 00:00:00,CUST21411,Simran Reddy,Women,Indore,Madhya Pradesh,Nike,Kurtas,L,Yellow,1,4581,10,4122.9,0,742.12,4865.02,3223.11,899.79,UPI,Delivered,2026-02-10 00:00:00,Mobile Web
MYN100013,ORD20250013,2025-05-24 00:00:00,CUST26371,Dev Deshmukh,Home,Indore,Madhya Pradesh,H&M,Bedsheets,S,Black,3,5833,30,4083.1,0,2204.87,14454.17,7493,4756.3,Wallet,Returned,2025-05-27 00:00:00,App
MYN100014,ORD20250014,2025-06-01 00:00:00,CUST22183,Akash Mishra,Home,Ahmedabad,Gujarat,WROGN,Wall Decor,M,Black,4,3469,25,2601.75,0,1873.26,12280.26,8244.63,2162.37,Cash on Delivery,Processing,2025-06-08 00:00:00,Website
MYN100015,ORD20250015,2025-06-12 00:00:00,CUST48467,Dev Chauhan,Kids,Ahmedabad,Gujarat,Mast & Harbour,Kids Dresses,XXL,Green,2,397,50,198.5,99,71.46,567.46,251.08,145.92,Cash on Delivery,Delivered,2025-06-18 00:00:00,Mobile Web
MYN100016,ORD20250016,2025-02-07 00:00:00,CUST86213,Varun Oberoi,Kids,Indore,Madhya Pradesh,Roadster,Kids Jeans,M,White,3,1253,15,1065.05,0,575.13,3770.28,1973.4,1221.75,Net Banking,Delivered,2025-02-14 00:00:00,Website
MYN100017,ORD20250017,2026-07-01 00:00:00,CUST66491,Sneha Sinha,Kids,Mumbai,Maharashtra,Allen Solly,Kids Shoes,XXL,Blue,4,4847,10,4362.3,0,3140.86,20590.06,10919.86,6529.34,Cash on Delivery,Delivered,2026-07-03 00:00:00,App
MYN100018,ORD20250018,2025-06-10 00:00:00,CUST44584,Ayush Deshmukh,Home,Bengaluru,Karnataka,Roadster,Bedsheets,Free Size,Pink,1,905,50,452.5,99,81.45,632.95,284.85,167.65,Credit Card,Delivered,2025-06-14 00:00:00,Mobile Web
MYN100019,ORD20250019,2025-04-14 00:00:00,CUST88069,Dev Pawar,Women,Hyderabad,Telangana,Allen Solly,Sarees,XL,Beige,3,1985,5,1885.75,0,1018.3,6675.55,3562.53,2094.72,Credit Card,Delivered,2025-04-16 00:00:00,Mobile Web
MYN100020,ORD20250020,2026-05-27 00:00:00,CUST97922,Rahul Bhatia,Men,Jaipur,Rajasthan,Levis,Sports Shoes,Free Size,White,1,3249,20,2599.2,0,467.86,3067.06,1565.9,1033.3,Credit Card,Processing,2026-06-03 00:00:00,Mobile Web
MYN100021,ORD20250021,2025-11-01 00:00:00,CUST63006,Kriti Sinha,Kids,Jaipur,Rajasthan,Nike,Kids Shoes,M,Green,2,873,50,436.5,49,157.14,1079.14,682.96,190.04,UPI,Delivered,2025-11-06 00:00:00,App
MYN100022,ORD20250022,2025-02-16 00:00:00,CUST83523,Simran Oberoi,Men,Chennai,Tamil Nadu,HERE&NOW,Trousers,L,Blue,4,5614,30,3929.8,0,2829.46,18548.66,10900.73,4818.47,UPI,Shipped,2025-02-20 00:00:00,Mobile Web
MYN100023,ORD20250023,2026-01-28 00:00:00,CUST76617,Priya Reddy,Women,Jaipur,Rajasthan,WROGN,Sarees,XS,White,2,1039,10,935.1,0,336.64,2206.84,1450.74,419.46,Wallet,Delivered,2026-02-02 00:00:00,Website
MYN100024,ORD20250024,2026-08-04 00:00:00,CUST83666,Yash Sinha,Kids,Bengaluru,Karnataka,Maybelline,Kids Jeans,M,Green,3,5291,40,3174.6,0,1714.28,11238.08,6927.8,2596,Wallet,Processing,2026-08-11 00:00:00,App
MYN100025,ORD20250025,2025-08-06 00:00:00,CUST72752,Harsh Sinha,Women,Mumbai,Maharashtra,HERE&NOW,Tops,Free Size,Pink,4,2440,30,1708,0,1229.76,8061.76,4081.02,2750.98,Net Banking,Delivered,2025-08-09 00:00:00,Website
MYN100026,ORD20250026,2026-05-31 00:00:00,CUST98223,Ananya Deshmukh,Men,Nashik,Maharashtra,Adidas,Shirts,L,White,4,2788,20,2230.4,0,1605.89,10527.49,6493.56,2428.04,Debit Card,Delivered,2026-06-03 00:00:00,App
MYN100027,ORD20250027,2025-02-12 00:00:00,CUST96027,Tanvi More,Women,Bengaluru,Karnataka,H&M,Dresses,XL,Blue,1,5686,15,4833.1,0,869.96,5703.06,3508.35,1324.75,Credit Card,Delivered,2025-02-17 00:00:00,Mobile Web
MYN100028,ORD20250028,2025-07-15 00:00:00,CUST36092,Simran Deshmukh,Women,Jaipur,Rajasthan,Puma,Sarees,L,Yellow,3,1924,15,1635.4,0,883.12,5789.32,3071.78,1834.42,Net Banking,Shipped,2025-07-18 00:00:00,App
MYN100029,ORD20250029,2026-07-02 00:00:00,CUST44911,Rohit Pawar,Women,Ahmedabad,Gujarat,HERE&NOW,Sarees,Free Size,Green,1,3266,30,2286.2,0,411.52,2697.72,1709.04,577.16,Cash on Delivery,Delivered,2026-07-05 00:00:00,App
MYN100030,ORD20250030,2025-12-08 00:00:00,CUST57280,Aarav Mishra,Kids,Nashik,Maharashtra,Nike,Kids Shoes,L,Yellow,1,5267,15,4476.95,0,805.85,5282.8,3073.06,1403.89,Debit Card,Cancelled,2025-12-14 00:00:00,App
MYN100031,ORD20250031,2025-04-09 00:00:00,CUST21130,Nikhil Singh,Women,Delhi,Delhi,Fastrack,Heels,L,Green,4,5245,20,4196,0,3021.12,19805.12,11263.41,5520.59,UPI,Delivered,2025-04-14 00:00:00,Mobile Web
MYN100032,ORD20250032,2025-08-23 00:00:00,CUST82267,Arjun Tripathi,Men,Chennai,Tamil Nadu,Adidas,Shirts,S,Black,3,3593,0,3593,0,1940.22,12719.22,8511.96,2267.04,Net Banking,Delivered,2025-08-27 00:00:00,Website
MYN100033,ORD20250033,2025-01-29 00:00:00,CUST38295,Abhishek Shetty,Men,Jaipur,Rajasthan,Puma,Sports Shoes,XXL,Red,2,5811,30,4067.7,0,1464.37,9599.77,4796.5,3338.9,UPI,Delivered,2025-02-04 00:00:00,Mobile Web
MYN100034,ORD20250034,2025-07-01 00:00:00,CUST25485,Priya Iyer,Home,Delhi,Delhi,DressBerry,Bedsheets,XL,White,3,3440,25,2580,0,1393.2,9133.2,5881.08,1858.92,Cash on Delivery,Delivered,2025-07-05 00:00:00,Website
MYN100035,ORD20250035,2026-05-20 00:00:00,CUST43591,Dev Sharma,Men,Ahmedabad,Gujarat,Puma,Trousers,XXL,Green,1,2257,25,1692.75,0,304.7,1997.45,1039.56,653.19,Wallet,Delivered,2026-05-25 00:00:00,Website
MYN100036,ORD20250036,2025-08-15 00:00:00,CUST81726,Neha Sinha,Men,Bengaluru,Karnataka,Maybelline,Sports Shoes,XS,Black,3,4474,20,3579.2,0,1932.77,12670.37,8570.34,2167.26,Net Banking,Returned,2025-08-19 00:00:00,Website
MYN100037,ORD20250037,2026-02-12 00:00:00,CUST19337,Shreya Yadav,Women,Indore,Madhya Pradesh,H&M,Kurtas,S,Grey,4,1652,40,991.2,0,713.66,4678.46,2602.97,1361.83,Credit Card,Delivered,2026-02-17 00:00:00,Website
MYN100038,ORD20250038,2026-04-06 00:00:00,CUST37532,Aditya Sharma,Men,Delhi,Delhi,Nike,Sports Shoes,XL,Pink,3,4074,15,3462.9,0,1869.97,12258.67,7217.51,3171.19,Credit Card,Delivered,2026-04-11 00:00:00,Mobile Web
MYN100039,ORD20250039,2025-04-29 00:00:00,CUST18415,Kriti Chopra,Kids,Pune,Maharashtra,Nike,Kids Shoes,M,Green,2,308,40,184.8,79,66.53,515.13,207.79,161.81,Credit Card,Processing,2025-05-01 00:00:00,Mobile Web
MYN100040,ORD20250040,2026-01-20 00:00:00,CUST39189,Meera Naik,Women,Mumbai,Maharashtra,H&M,Dresses,XL,Green,1,5879,0,5879,0,1058.22,6937.22,3891.91,1987.09,Wallet,Delivered,2026-01-26 00:00:00,Mobile Web
MYN100041,ORD20250041,2026-04-02 00:00:00,CUST63932,Meera Verma,Women,Bengaluru,Karnataka,HERE&NOW,Handbags,XXL,Black,1,5108,30,3575.6,0,643.61,4219.21,2199.33,1376.27,UPI,Delivered,2026-04-09 00:00:00,Website
MYN100042,ORD20250042,2025-02-23 00:00:00,CUST34285,Kavya More,Women,Pune,Maharashtra,Adidas,Sarees,XS,Beige,3,4832,25,3624,0,1956.96,12828.96,6883.06,3988.94,Net Banking,Delivered,2025-02-28 00:00:00,App
MYN100043,ORD20250043,2025-12-01 00:00:00,CUST85745,Harsh Chatterjee,Women,Chennai,Tamil Nadu,Mast & Harbour,Dresses,XS,Pink,2,5158,50,2579,0,928.44,6086.44,3658.45,1499.55,UPI,Delivered,2025-12-05 00:00:00,Mobile Web
MYN100044,ORD20250044,2025-11-26 00:00:00,CUST83477,Yash Chopra,Women,Mumbai,Maharashtra,Mast & Harbour,Sarees,S,Blue,2,2479,25,1859.25,0,669.33,4387.83,2975.46,743.04,UPI,Delivered,2025-11-28 00:00:00,Mobile Web
MYN100045,ORD20250045,2025-07-14 00:00:00,CUST85697,Aditi Chauhan,Men,Kolkata,West Bengal,Anouk,Jeans,M,Blue,4,1198,10,1078.2,0,776.3,5089.1,2851.4,1461.4,Net Banking,Shipped,2025-07-18 00:00:00,App
MYN100046,ORD20250046,2025-12-12 00:00:00,CUST91818,Harsh Desai,Women,Hyderabad,Telangana,Maybelline,Sarees,S,Yellow,1,5823,20,4658.4,0,838.51,5496.91,3141.67,1516.73,UPI,Delivered,2025-12-19 00:00:00,Website
MYN100047,ORD20250047,2025-09-10 00:00:00,CUST92558,Ayush Oberoi,Men,Mumbai,Maharashtra,H&M,Watches,XXL,Beige,4,5444,30,3810.8,0,2743.78,17986.98,11463.35,3779.85,Wallet,Delivered,2025-09-15 00:00:00,Website
MYN100048,ORD20250048,2025-12-29 00:00:00,CUST98869,Tanya Kulkarni,Kids,Kolkata,West Bengal,H&M,Kids Dresses,M,Yellow,3,5277,25,3957.75,0,2137.18,14010.43,9237.38,2635.87,Net Banking,Delivered,2026-01-03 00:00:00,Website
MYN100049,ORD20250049,2026-08-03 00:00:00,CUST36734,Shreya Jain,Women,Hyderabad,Telangana,WROGN,Kurtas,Free Size,Pink,1,424,5,402.8,0,72.5,475.3,286.1,116.7,Credit Card,Processing,2026-08-06 00:00:00,Mobile Web
MYN100050,ORD20250050,2026-03-19 00:00:00,CUST13812,Harsh Srivastava,Kids,Nashik,Maharashtra,Levis,Kids T-Shirts,XS,Green,4,2771,15,2355.35,0,1695.85,11117.25,6824.84,2596.56,Wallet,Returned,2026-03-23 00:00:00,App
MYN100051,ORD20250051,2025-05-17 00:00:00,CUST14324,Tanya Tripathi,Men,Lucknow,Uttar Pradesh,Lakme,Trousers,Free Size,Pink,3,3816,10,3434.4,0,1854.58,12157.78,5821.58,4481.62,Credit Card,Delivered,2025-05-21 00:00:00,Mobile Web
MYN100052,ORD20250052,2026-01-27 00:00:00,CUST16469,Aditya Sharma,Beauty,Kolkata,West Bengal,Lakme,Face Wash,XXL,Red,2,5341,30,3738.7,0,1345.93,8823.33,5236.62,2240.78,Debit Card,Delivered,2026-01-30 00:00:00,App
MYN100053,ORD20250053,2026-05-26 00:00:00,CUST57362,Tanvi Patel,Kids,Mumbai,Maharashtra,Fastrack,Kids Jeans,XXL,White,1,5048,10,4543.2,0,817.78,5360.98,3119.58,1423.62,Credit Card,Delivered,2026-05-31 00:00:00,App
MYN100054,ORD20250054,2026-07-04 00:00:00,CUST93524,Naina Kulkarni,Men,Kolkata,West Bengal,HRX,Trousers,XXL,Green,3,4012,0,4012,0,2166.48,14202.48,8834.49,3201.51,Debit Card,Delivered,2026-07-08 00:00:00,App
MYN100055,ORD20250055,2025-08-17 00:00:00,CUST96740,Priya Roy,Men,Mumbai,Maharashtra,Mast & Harbour,Jeans,XL,Blue,4,5714,25,4285.5,0,3085.56,20227.56,13324.37,3817.63,Debit Card,Processing,2025-08-24 00:00:00,Website
MYN100056,ORD20250056,2026-06-10 00:00:00,CUST81520,Riya Desai,Women,Jaipur,Rajasthan,Nike,Tops,Free Size,Black,4,2435,25,1826.25,0,1314.9,8619.9,4883.88,2421.12,UPI,Shipped,2026-06-14 00:00:00,App
MYN100057,ORD20250057,2026-08-02 00:00:00,CUST97487,Rahul Tripathi,Beauty,Bengaluru,Karnataka,Lakme,Perfume,Free Size,Black,3,3986,10,3587.4,0,1937.2,12699.4,6258.89,4503.31,Cash on Delivery,Delivered,2026-08-06 00:00:00,Website
MYN100058,ORD20250058,2025-09-11 00:00:00,CUST42265,Rohan Goyal,Beauty,Hyderabad,Telangana,Maybelline,Moisturizer,M,Black,3,1419,25,1064.25,0,574.69,3767.44,2397.33,795.42,Wallet,Delivered,2025-09-16 00:00:00,Website
MYN100059,ORD20250059,2025-05-10 00:00:00,CUST49666,Pooja Desai,Women,Kolkata,West Bengal,Maybelline,Tops,L,Green,1,3527,20,2821.6,0,507.89,3329.49,1726.53,1095.07,Cash on Delivery,Shipped,2025-05-14 00:00:00,Mobile Web
MYN100060,ORD20250060,2026-01-31 00:00:00,CUST27368,Kavya Mehta,Home,Hyderabad,Telangana,Anouk,Bath Towels,Free Size,Grey,2,5106,15,4340.1,0,1562.44,10242.64,6994.21,1685.99,Cash on Delivery,Shipped,2026-02-03 00:00:00,Mobile Web
MYN100061,ORD20250061,2026-01-13 00:00:00,CUST54327,Ananya Srivastava,Home,Delhi,Delhi,Allen Solly,Bath Towels,XXL,Beige,3,3234,0,3234,0,1746.36,11448.36,5735.68,3966.32,UPI,Delivered,2026-01-15 00:00:00,Website
MYN100062,ORD20250062,2026-07-21 00:00:00,CUST78244,Shreya Joshi,Men,Delhi,Delhi,Lakme,Shirts,XL,Yellow,1,1504,30,1052.8,0,189.5,1242.3,826.31,226.49,Credit Card,Shipped,2026-07-25 00:00:00,App
MYN100063,ORD20250063,2025-07-29 00:00:00,CUST46368,Aditi Kapoor,Men,Delhi,Delhi,Mast & Harbour,T-Shirts,XXL,Grey,2,835,30,584.5,0,210.42,1379.42,752.27,416.73,UPI,Processing,2025-08-02 00:00:00,Mobile Web
MYN100064,ORD20250064,2026-04-14 00:00:00,CUST56163,Rahul Bose,Men,Mumbai,Maharashtra,Puma,Sports Shoes,XS,Red,2,4679,20,3743.2,0,1347.55,8833.95,4562.41,2923.99,Wallet,Delivered,2026-04-16 00:00:00,Website
MYN100065,ORD20250065,2026-03-11 00:00:00,CUST12079,Isha Kulkarni,Men,Mumbai,Maharashtra,Puma,Sports Shoes,XL,Grey,1,4721,20,3776.8,0,679.82,4456.62,2482.4,1294.4,Debit Card,Processing,2026-03-15 00:00:00,Website
MYN100066,ORD20250066,2025-09-21 00:00:00,CUST58770,Aditya Srivastava,Women,Pune,Maharashtra,Fastrack,Dresses,S,Blue,1,4588,20,3670.4,0,660.67,4331.07,2415.88,1254.52,Wallet,Delivered,2025-09-27 00:00:00,Website
MYN100067,ORD20250067,2026-03-19 00:00:00,CUST41480,Arjun Patel,Women,Pune,Maharashtra,Allen Solly,Tops,M,Blue,1,3761,20,3008.8,0,541.58,3550.38,2103.05,905.75,UPI,Shipped,2026-03-25 00:00:00,Mobile Web
MYN100068,ORD20250068,2026-05-15 00:00:00,CUST96925,Aditi Patel,Kids,Kolkata,West Bengal,Allen Solly,Kids Shoes,S,Beige,3,1610,30,1127,0,608.58,3989.58,2738.32,642.68,Credit Card,Delivered,2026-05-21 00:00:00,Mobile Web
MYN100069,ORD20250069,2026-06-07 00:00:00,CUST86918,Dev Bhatt,Kids,Nashik,Maharashtra,Mast & Harbour,Kids T-Shirts,XL,Green,2,5966,20,4772.8,0,1718.21,11263.81,7550.77,1994.83,Wallet,Cancelled,2026-06-10 00:00:00,Website
MYN100070,ORD20250070,2025-06-07 00:00:00,CUST96143,Arjun Rathore,Women,Nashik,Maharashtra,Levis,Handbags,S,Blue,4,5918,50,2959,0,2130.48,13966.48,6957.56,4878.44,UPI,Cancelled,2025-06-11 00:00:00,Website
MYN100071,ORD20250071,2025-01-04 00:00:00,CUST86908,Tanya Menon,Kids,Ahmedabad,Gujarat,Maybelline,Kids Dresses,Free Size,Green,2,3729,10,3356.1,0,1208.2,7920.4,5204.85,1507.35,Debit Card,Delivered,2025-01-07 00:00:00,Website
MYN100072,ORD20250072,2026-01-13 00:00:00,CUST50809,Sneha Singh,Home,Delhi,Delhi,Adidas,Bedsheets,XL,Yellow,1,339,10,305.1,0,54.92,360.02,221.47,83.63,Wallet,Delivered,2026-01-18 00:00:00,Mobile Web
MYN100073,ORD20250073,2026-07-12 00:00:00,CUST71120,Isha Bose,Women,Ahmedabad,Gujarat,Maybelline,Tops,XL,Red,1,753,20,602.4,49,108.43,759.83,397.09,205.31,Debit Card,Delivered,2026-07-15 00:00:00,Website
MYN100074,ORD20250074,2025-04-08 00:00:00,CUST99399,Tanvi Saxena,Men,Lucknow,Uttar Pradesh,Puma,Jeans,S,Red,4,1435,25,1076.25,0,774.9,5079.9,3026.11,1278.89,Cash on Delivery,Delivered,2025-04-15 00:00:00,Mobile Web
MYN100075,ORD20250075,2026-05-16 00:00:00,CUST47904,Ananya Verma,Women,Lucknow,Uttar Pradesh,Roadster,Dresses,XS,Grey,1,4759,5,4521.05,0,813.79,5334.84,3427.62,1093.43,Credit Card,Delivered,2026-05-18 00:00:00,App
MYN100076,ORD20250076,2026-06-08 00:00:00,CUST79626,Sakshi Jain,Men,Bengaluru,Karnataka,HRX,Jeans,XL,Black,2,4502,25,3376.5,0,1215.54,7968.54,3723.73,3029.27,Credit Card,Delivered,2026-06-12 00:00:00,App
MYN100077,ORD20250077,2026-01-09 00:00:00,CUST65761,Abhishek Goyal,Women,Kolkata,West Bengal,Lakme,Tops,L,Yellow,1,637,25,477.75,0,85.99,563.74,347.74,130.01,Net Banking,Returned,2026-01-16 00:00:00,Website
MYN100078,ORD20250078,2025-12-01 00:00:00,CUST21122,Kriti Mehta,Men,Chennai,Tamil Nadu,Allen Solly,Shirts,S,Beige,1,699,10,629.1,49,113.24,791.34,501.51,127.59,Net Banking,Processing,2025-12-07 00:00:00,Website
MYN100079,ORD20250079,2025-06-08 00:00:00,CUST67132,Priya Malhotra,Kids,Nashik,Maharashtra,WROGN,Kids Jeans,M,Green,3,4796,20,3836.8,0,2071.87,13582.27,6445.73,5064.67,Debit Card,Delivered,2025-06-12 00:00:00,Website
MYN100080,ORD20250080,2025-06-10 00:00:00,CUST90765,Kavya Kamble,Kids,Kolkata,West Bengal,WROGN,Kids Jeans,Free Size,Blue,1,3886,25,2914.5,0,524.61,3439.11,2183.6,730.9,Credit Card,Shipped,2025-06-16 00:00:00,Website
MYN100081,ORD20250081,2026-04-22 00:00:00,CUST22984,Meera Chopra,Men,Pune,Maharashtra,Maybelline,Sports Shoes,L,Yellow,2,4109,0,4109,0,1479.24,9697.24,5298.08,2919.92,Credit Card,Delivered,2026-04-29 00:00:00,Website
MYN100082,ORD20250082,2025-11-20 00:00:00,CUST50600,Kriti Rathore,Women,Mumbai,Maharashtra,HERE&NOW,Tops,XL,Yellow,2,4059,5,3856.05,0,1388.18,9100.28,4860.09,2852.01,UPI,Delivered,2025-11-23 00:00:00,App
MYN100083,ORD20250083,2026-03-16 00:00:00,CUST39757,Karan Srivastava,Kids,Jaipur,Rajasthan,H&M,Kids Jeans,XS,Beige,3,2127,25,1595.25,0,861.44,5647.19,3392.66,1393.09,Cash on Delivery,Shipped,2026-03-23 00:00:00,Mobile Web
MYN100084,ORD20250084,2025-08-14 00:00:00,CUST37376,Priya Shetty,Women,Hyderabad,Telangana,Fastrack,Handbags,M,Grey,2,1183,30,828.1,0,298.12,1954.32,1014.06,642.14,Wallet,Delivered,2025-08-16 00:00:00,App
MYN100085,ORD20250085,2026-02-23 00:00:00,CUST34578,Abhishek Rawat,Men,Nashik,Maharashtra,Nike,T-Shirts,XXL,Grey,1,5438,50,2719,0,489.42,3208.42,1686.5,1032.5,Net Banking,Delivered,2026-02-26 00:00:00,Mobile Web
MYN100086,ORD20250086,2026-06-25 00:00:00,CUST98801,Pooja Rawat,Men,Bengaluru,Karnataka,Lakme,Trousers,XS,Grey,4,3980,15,3383,0,2435.76,15967.76,8413.01,5118.99,UPI,Delivered,2026-06-27 00:00:00,App
MYN100087,ORD20250087,2026-03-30 00:00:00,CUST13020,Mohit Yadav,Kids,Indore,Madhya Pradesh,Puma,Kids Dresses,XL,Black,3,1273,0,1273,0,687.42,4506.42,2846.39,972.61,Credit Card,Delivered,2026-04-05 00:00:00,App
MYN100088,ORD20250088,2025-10-16 00:00:00,CUST29623,Rohit Khan,Women,Jaipur,Rajasthan,Mast & Harbour,Handbags,M,Yellow,2,5741,15,4879.85,0,1756.75,11516.45,6800.76,2958.94,Net Banking,Delivered,2025-10-23 00:00:00,Mobile Web
MYN100089,ORD20250089,2026-07-11 00:00:00,CUST64302,Priya Kulkarni,Men,Delhi,Delhi,Adidas,Sports Shoes,S,Green,4,4585,25,3438.75,0,2475.9,16230.9,8154.29,5600.71,Wallet,Delivered,2026-07-14 00:00:00,Mobile Web
MYN100090,ORD20250090,2025-08-21 00:00:00,CUST82545,Simran Naik,Men,Indore,Madhya Pradesh,HRX,Trousers,XL,Blue,1,593,10,533.7,49,96.07,678.77,340.57,193.13,Wallet,Delivered,2025-08-23 00:00:00,Mobile Web
MYN100091,ORD20250091,2025-10-05 00:00:00,CUST55539,Rohit Sharma,Beauty,Pune,Maharashtra,Nike,Perfume,L,Black,3,4201,15,3570.85,0,1928.26,12640.81,8587.69,2124.86,Cash on Delivery,Delivered,2025-10-10 00:00:00,Website
MYN100092,ORD20250092,2025-10-12 00:00:00,CUST97266,Akash Desai,Kids,Hyderabad,Telangana,Roadster,Kids Dresses,XL,Beige,2,4868,0,4868,0,1752.48,11488.48,7645.83,2090.17,Net Banking,Processing,2025-10-17 00:00:00,Mobile Web
MYN100093,ORD20250093,2025-04-09 00:00:00,CUST78878,Nikhil Chauhan,Beauty,Jaipur,Rajasthan,H&M,Lipstick,XL,Red,2,3908,5,3712.6,0,1336.54,8761.74,6082.9,1342.3,Credit Card,Cancelled,2025-04-15 00:00:00,Mobile Web
MYN100094,ORD20250094,2025-01-21 00:00:00,CUST58901,Isha Mishra,Kids,Lucknow,Uttar Pradesh,H&M,Kids Dresses,XS,Green,4,4077,40,2446.2,0,1761.26,11546.06,5464.34,4320.46,Debit Card,Shipped,2025-01-27 00:00:00,Mobile Web
MYN100095,ORD20250095,2026-06-08 00:00:00,CUST28639,Varun Agarwal,Women,Pune,Maharashtra,Anouk,Tops,L,Yellow,1,2279,10,2051.1,0,369.2,2420.3,1489,562.1,UPI,Cancelled,2026-06-11 00:00:00,App
MYN100096,ORD20250096,2026-01-13 00:00:00,CUST10526,Mohit Shetty,Beauty,Pune,Maharashtra,Lakme,Lipstick,XXL,Beige,1,4743,5,4505.85,0,811.05,5316.9,3587.54,918.31,UPI,Delivered,2026-01-17 00:00:00,Website
MYN100097,ORD20250097,2025-04-27 00:00:00,CUST39759,Naina Sinha,Kids,Hyderabad,Telangana,Nike,Kids Jeans,XL,White,2,1315,5,1249.25,0,449.73,2948.23,1766.77,731.73,Wallet,Processing,2025-04-30 00:00:00,Website
MYN100098,ORD20250098,2026-01-27 00:00:00,CUST56167,Arjun Pandey,Women,Lucknow,Uttar Pradesh,Allen Solly,Heels,XS,Yellow,4,5719,25,4289.25,0,3088.26,20245.26,13048.92,4108.08,Wallet,Delivered,2026-01-31 00:00:00,Mobile Web
MYN100099,ORD20250099,2025-01-02 00:00:00,CUST55004,Aarav Bhatia,Women,Delhi,Delhi,Levis,Heels,XL,Red,4,3019,20,2415.2,0,1738.94,11399.74,7768.58,1892.22,Credit Card,Delivered,2025-01-04 00:00:00,Website
MYN100100,ORD20250100,2026-03-04 00:00:00,CUST67660,Shreya Patel,Women,Jaipur,Rajasthan,WROGN,Heels,M,Pink,3,2008,25,1506,0,813.24,5331.24,2729.06,1788.94,UPI,Returned,2026-03-06 00:00:00,Website
